Participant_ID,Role,Interview_Date,Question_Code,Initial_Code,Candidate_Theme,Final_Theme,Supporting_Quote,Quant_Finding_Link,Integration_Type,Analyst_Note
P02,Data Scientist,2026-07-27,IQ11,"IQ11: governance, NDPA compliance, fairness - trust noted",Trust,Trust,"""Once trust drops after a fraud scare, activity migrates quietly."" [SYNTHETIC]",Trust M=3.35,Converges,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-06,IQ12,IQ12: what would prove value (pilot/metrics) - human oversight noted,Human oversight,Human oversight,"""AI proposes, a named human disposes - especially on complaints."" [SYNTHETIC]",Human oversight M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-14,IQ1,IQ1: churn drivers observed in practice - human oversight noted,Human oversight,Human oversight,"""The data team can build the model, but they cannot be responsible for the entire retention outcome. The business has to own the outcome."" [P04 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Human oversight M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-23,IQ2,IQ2: silent churn / multi-banking signs - service quality noted,Service quality,Service quality,"""Our churn cases almost always have an unresolved ticket behind them."" [SYNTHETIC]",Complaint resolution M=3.41,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-15,IQ3,IQ3: AI use for behavioural monitoring - human oversight noted,Human oversight,Human oversight,"""The data team can build the model, but they cannot be responsible for the entire retention outcome. The business has to own the outcome."" [P04 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Human oversight M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-27,IQ4,IQ4: risk scoring and early warning - early warning noted,Early warning,Early warning,"""The model can identify a customer who is likely to leave, but if the bank does nothing with that information, the prediction has no commercial value."" [P03 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Risk scoring M=3.38,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-14,IQ5,IQ5: explainability and reason codes - enterprise ownership noted,Enterprise ownership,Enterprise ownership,"""Retention fails when it belongs to nobody; it needs business, data, tech and CX at one table."" [SYNTHETIC]",Cross-functional ownership M=3.42,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-20,IQ6,IQ6: retention targeting and prioritization - service improvement noted,Service improvement,Service improvement,"""Measure saved relationships, not just model AUC."" [SYNTHETIC]",Direct churn-reduction M=2.94,Complements,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-21,IQ7,IQ7: treatment selection and timing - human oversight noted,Human oversight,Human oversight,"""The data team can build the model, but they cannot be responsible for the entire retention outcome. The business has to own the outcome."" [P04 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Human oversight M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-07,IQ8,IQ8: human oversight and accountability - explainability noted,Explainability,Explainability,"""Give me two or three reasons I can act on, not a black-box number."" [SYNTHETIC]",Explainable AI M=3.14,Complements,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-14,IQ9,IQ9: data integration and quality - explainability noted,Explainability,Explainability,"""Reason codes decide whether I call, visit, or fix a fee."" [SYNTHETIC]",Explainable AI M=3.14,Complements,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-19,IQ10,IQ10: cross-functional ownership - targeting noted,Targeting,Targeting,"""Treat everyone the same and you waste budget and annoy customers."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-17,IQ11,"IQ11: governance, NDPA compliance, fairness - early warning noted",Early warning,Early warning,"""Risk scores buy us time; without them we arrive after the customer has left."" [SYNTHETIC]",Risk scoring M=3.38,Converges,SYNTHETIC demo coding for methods illustration.
P03,Digital Product Manager,2026-07-18,IQ12,IQ12: what would prove value (pilot/metrics) - trust noted,Trust,Trust,"""Once trust drops after a fraud scare, activity migrates quietly."" [SYNTHETIC]",Trust M=3.35,Converges,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-09,IQ1,IQ1: churn drivers observed in practice - operational action noted,Operational action,Operational action,"""We need alert-to-action timing tracked like a service SLA."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-11,IQ2,IQ2: silent churn / multi-banking signs - behavioural signals noted,Behavioural signals,Behavioural signals,"""Declining logins and shrinking ticket size show up weeks before exit."" [SYNTHETIC]",Silent-churn detection M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-11,IQ3,IQ3: AI use for behavioural monitoring - data integration noted,Data integration,Data integration,"""Our signals live in five systems; stitching them is half the project."" [SYNTHETIC]",Data integration M=2.70,Complements,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-11,IQ4,IQ4: risk scoring and early warning - targeting noted,Targeting,Targeting,"""Treat everyone the same and you waste budget and annoy customers."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-17,IQ5,IQ5: explainability and reason codes - targeting noted,Targeting,Targeting,"""Risk times value tells me who gets the scarce retention slot."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-15,IQ6,IQ6: retention targeting and prioritization - operational action noted,Operational action,Operational action,"""We need alert-to-action timing tracked like a service SLA."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-05,IQ7,IQ7: treatment selection and timing - human oversight noted,Human oversight,Human oversight,"""AI proposes, a named human disposes - especially on complaints."" [SYNTHETIC]",Human oversight M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-12,IQ8,IQ8: human oversight and accountability - human oversight noted,Human oversight,Human oversight,"""The data team can build the model, but they cannot be responsible for the entire retention outcome. The business has to own the outcome."" [P04 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Human oversight M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-02,IQ9,IQ9: data integration and quality - early warning noted,Early warning,Early warning,"""The model can identify a customer who is likely to leave, but if the bank does nothing with that information, the prediction has no commercial value."" [P03 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Risk scoring M=3.38,Converges,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-03,IQ10,IQ10: cross-functional ownership - operational action noted,Operational action,Operational action,"""We need alert-to-action timing tracked like a service SLA."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-26,IQ11,"IQ11: governance, NDPA compliance, fairness - operational action noted",Operational action,Operational action,"""We need alert-to-action timing tracked like a service SLA."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P04,Data/AI Specialist,2026-07-19,IQ12,IQ12: what would prove value (pilot/metrics) - behavioural signals noted,Behavioural signals,Behavioural signals,"""Declining logins and shrinking ticket size show up weeks before exit."" [SYNTHETIC]",Silent-churn detection M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-14,IQ1,IQ1: churn drivers observed in practice - service quality noted,Service quality,Service quality,"""Repeated failures are what move customers, not one bad day. Fix the complaint loop first."" [SYNTHETIC]",Complaint resolution M=3.41,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-18,IQ2,IQ2: silent churn / multi-banking signs - enterprise ownership noted,Enterprise ownership,Enterprise ownership,"""Retention fails when it belongs to nobody; it needs business, data, tech and CX at one table."" [SYNTHETIC]",Cross-functional ownership M=3.42,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-23,IQ3,IQ3: AI use for behavioural monitoring - explainability noted,Explainability,Explainability,"""Give me two or three reasons I can act on, not a black-box number."" [SYNTHETIC]",Explainable AI M=3.14,Complements,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-26,IQ4,IQ4: risk scoring and early warning - enterprise ownership noted,Enterprise ownership,Enterprise ownership,"""Retention fails when it belongs to nobody; it needs business, data, tech and CX at one table."" [SYNTHETIC]",Cross-functional ownership M=3.42,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-26,IQ5,IQ5: explainability and reason codes - targeting noted,Targeting,Targeting,"""Treat everyone the same and you waste budget and annoy customers."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-04,IQ6,IQ6: retention targeting and prioritization - targeting noted,Targeting,Targeting,"""Risk times value tells me who gets the scarce retention slot."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-21,IQ7,IQ7: treatment selection and timing - targeting noted,Targeting,Targeting,"""Risk times value tells me who gets the scarce retention slot."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-15,IQ8,IQ8: human oversight and accountability - service improvement noted,Service improvement,Service improvement,"""No model compensates for persistent downtime - fix service, then optimize offers."" [SYNTHETIC]",Direct churn-reduction M=2.94,Complements,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-11,IQ9,IQ9: data integration and quality - service quality noted,Service quality,Service quality,"""Repeated failures are what move customers, not one bad day. Fix the complaint loop first."" [SYNTHETIC]",Complaint resolution M=3.41,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-18,IQ10,IQ10: cross-functional ownership - enterprise ownership noted,Enterprise ownership,Enterprise ownership,"""RACI and a weekly review beat another model tweak."" [SYNTHETIC]",Cross-functional ownership M=3.42,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-02,IQ11,"IQ11: governance, NDPA compliance, fairness - targeting noted",Targeting,Targeting,"""Treat everyone the same and you waste budget and annoy customers."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P05,Customer Experience Manager,2026-07-12,IQ12,IQ12: what would prove value (pilot/metrics) - operational action noted,Operational action,Operational action,"""We need alert-to-action timing tracked like a service SLA."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-20,IQ1,IQ1: churn drivers observed in practice - behavioural signals noted,Behavioural signals,Behavioural signals,"""Declining logins and shrinking ticket size show up weeks before exit."" [SYNTHETIC]",Silent-churn detection M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-24,IQ2,IQ2: silent churn / multi-banking signs - service quality noted,Service quality,Service quality,"""Our churn cases almost always have an unresolved ticket behind them."" [SYNTHETIC]",Complaint resolution M=3.41,Converges,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-21,IQ3,IQ3: AI use for behavioural monitoring - targeting noted,Targeting,Targeting,"""Risk times value tells me who gets the scarce retention slot."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-09,IQ4,IQ4: risk scoring and early warning - targeting noted,Targeting,Targeting,"""Risk times value tells me who gets the scarce retention slot."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-02,IQ5,IQ5: explainability and reason codes - operational action noted,Operational action,Operational action,"""We need alert-to-action timing tracked like a service SLA."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-11,IQ6,IQ6: retention targeting and prioritization - service quality noted,Service quality,Service quality,"""Our churn cases almost always have an unresolved ticket behind them."" [SYNTHETIC]",Complaint resolution M=3.41,Converges,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-25,IQ7,IQ7: treatment selection and timing - data integration noted,Data integration,Data integration,"""Our signals live in five systems; stitching them is half the project."" [SYNTHETIC]",Data integration M=2.70,Complements,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-27,IQ8,IQ8: human oversight and accountability - trust noted,Trust,Trust,"""Once trust drops after a fraud scare, activity migrates quietly."" [SYNTHETIC]",Trust M=3.35,Converges,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-20,IQ9,IQ9: data integration and quality - trust noted,Trust,Trust,"""Customers stay where they feel money is safe and issues are owned."" [SYNTHETIC]",Trust M=3.35,Converges,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-15,IQ10,IQ10: cross-functional ownership - operational action noted,Operational action,Operational action,"""Scores sitting in a dashboard change nothing; someone must own the next action."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-19,IQ11,"IQ11: governance, NDPA compliance, fairness - operational action noted",Operational action,Operational action,"""We need alert-to-action timing tracked like a service SLA."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P06,Product Manager,2026-07-16,IQ12,IQ12: what would prove value (pilot/metrics) - early warning noted,Early warning,Early warning,"""The model can identify a customer who is likely to leave, but if the bank does nothing with that information, the prediction has no commercial value."" [P03 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Risk scoring M=3.38,Converges,SYNTHETIC demo coding for methods illustration.
